hex_id,centroid_lat,centroid_lon,hours_count,days_affected,datetimes_affected
61922,48.782271874875,-79.1943945970793,1,1,2026-01-05 18:32:12
62533,48.7902890364431,-79.1882541465367,1,1,2026-01-05 18:32:12
300431,45.7869269543533,-76.4484660432476,1,1,2026-01-03 09:32:54
301652,45.7870893043541,-76.4356048936543,1,1,2026-01-03 09:32:54
302262,45.7793775410476,-76.4289751423271,1,1,2026-01-03 09:32:54
302871,45.7560804699048,-76.4219511626621,1,1,2026-01-03 09:32:54
302873,45.7872502071273,-76.4227436344254,1,1,2026-01-03 09:32:54
303482,45.7639527651238,-76.4157211728726,1,1,2026-01-03 09:32:54
304703,45.7641113683408,-76.4028651207189,1,1,2026-01-03 09:32:54
324239,45.7664523248491,-76.1971543973639,1,1,2026-01-04 01:48:42
324849,45.7587263465355,-76.1905597428489,1,1,2026-01-04 01:48:42
324850,45.7743126685302,-76.1908914044295,1,1,2026-01-04 01:48:42
325460,45.7665863397078,-76.1842966590565,1,1,2026-01-04 01:48:42
325461,45.7821726755493,-76.1846266665629,1,1,2026-01-04 01:48:42
326071,45.7744459961123,-76.178031830776,1,1,2026-01-04 01:48:42
326072,45.7900323456247,-76.1783601827833,1,1,2026-01-04 01:48:42
326681,45.7667189079382,-76.1714388303811,1,1,2026-01-04 01:48:42
326682,45.7823053154671,-76.1717652570272,1,1,2026-01-04 01:48:42
326683,45.7978916784744,-76.1720919521095,1,1,2026-01-04 01:48:42
327292,45.7745778766619,-76.165172167199,1,1,2026-01-04 01:48:42
327293,45.7901642974904,-76.1654969368294,1,1,2026-01-04 01:48:42
327294,45.8057506738164,-76.1658219735597,1,1,2026-01-04 01:48:42
327902,45.7668500295139,-76.1585809123177,1,1,2026-01-04 01:48:42
327903,45.7824365079482,-76.1589037580129,1,1,2026-01-04 01:48:42
327904,45.7980229419002,-76.1592268692012,1,1,2026-01-04 01:48:42
327905,45.8136093313686,-76.1595502461517,1,1,2026-01-04 01:48:42
328513,45.7747083101526,-76.1523124146789,1,1,2026-01-04 01:48:42
328514,45.7902948015151,-76.1526336018422,1,1,2026-01-04 01:48:42
328515,45.8058812484141,-76.1529550531608,1,1,2026-01-04 01:48:42
329123,45.7669797044085,-76.1457229058463,1,1,2026-01-04 01:48:42
329124,45.7825662529664,-76.146042170501,1,1,2026-01-04 01:48:42
329125,45.7981527570806,-76.1463616977054,1,1,2026-01-04 01:48:42
329126,45.8137392167501,-76.1466814877259,1,1,2026-01-04 01:48:42
329734,45.7748372965586,-76.1394525741963,1,1,2026-01-04 01:48:42
329735,45.7904238576728,-76.1397701788033,1,1,2026-01-04 01:48:42
329736,45.8060103743621,-76.1400880446207,1,1,2026-01-04 01:48:42
329737,45.8215968466255,-76.1404061719137,1,1,2026-01-04 01:48:42
330345,45.7826945504957,-76.1331804954725,1,1,2026-01-04 01:48:42
330346,45.7982811239897,-76.1334964386042,1,1,2026-01-04 01:48:42
330347,45.8138676530774,-76.1338126416057,1,1,2026-01-04 01:48:42
330955,45.7749648358539,-76.1265926467318,1,1,2026-01-04 01:48:42
